Taxon_ID,MartDatasets,Scientific_name,OrgDb,Common_name,kegg,Reference_Taxon_ID,Reference_Scientific_name,Ensembl_name,Ensembl_division,Ensembl_release,Assembly,Genome_URL,GTF_URL,Pep_URL,Reference_status,MartDatasets_status
80966,apolyacanthus_gene_ensembl,Acanthochromis polyacanthus,org.Apolyacanthus.eg.db,Spiny_chromis,,80966,Acanthochromis polyacanthus,acanthochromis_polyacanthus,EnsemblMain,116,ASM210954v1,https://ftp.ensembl.org/pub/release-116/fasta/acanthochromis_polyacanthus/dna/Acanthochromis_polyacanthus.ASM210954v1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/acanthochromis_polyacanthus/Acanthochromis_polyacanthus.ASM210954v1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/acanthochromis_polyacanthus/pep/Acanthochromis_polyacanthus.ASM210954v1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9646,amelanoleuca_gene_ensembl,Ailuropoda melanoleuca,org.Amelanoleuca.eg.db,Giant_panda,aml,9646,Ailuropoda melanoleuca,ailuropoda_melanoleuca,EnsemblMain,116,ASM200744v2,https://ftp.ensembl.org/pub/release-116/fasta/ailuropoda_melanoleuca/dna/Ailuropoda_melanoleuca.ASM200744v2.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/ailuropoda_melanoleuca/Ailuropoda_melanoleuca.ASM200744v2.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/ailuropoda_melanoleuca/pep/Ailuropoda_melanoleuca.ASM200744v2.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
61819,acitrinellus_gene_ensembl,Amphilophus citrinellus,org.Acitrinellus.eg.db,Midas_cichlid,,61819,Amphilophus citrinellus,amphilophus_citrinellus,EnsemblMain,116,Midas_v5,https://ftp.ensembl.org/pub/release-116/fasta/amphilophus_citrinellus/dna/Amphilophus_citrinellus.Midas_v5.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/amphilophus_citrinellus/Amphilophus_citrinellus.Midas_v5.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/amphilophus_citrinellus/pep/Amphilophus_citrinellus.Midas_v5.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
80972,aocellaris_gene_ensembl,Amphiprion ocellaris,org.Aocellaris.eg.db,Clown_anemonefish,aoce,80972,Amphiprion ocellaris,amphiprion_ocellaris,EnsemblMain,116,ASM2253959v1,https://ftp.ensembl.org/pub/release-116/fasta/amphiprion_ocellaris/dna/Amphiprion_ocellaris.ASM2253959v1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/amphiprion_ocellaris/Amphiprion_ocellaris.ASM2253959v1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/amphiprion_ocellaris/pep/Amphiprion_ocellaris.ASM2253959v1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
161767,apercula_gene_ensembl,Amphiprion percula,org.Apercula.eg.db,Orange_clownfish,,161767,Amphiprion percula,amphiprion_percula,EnsemblMain,116,Nemo_v1,https://ftp.ensembl.org/pub/release-116/fasta/amphiprion_percula/dna/Amphiprion_percula.Nemo_v1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/amphiprion_percula/Amphiprion_percula.Nemo_v1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/amphiprion_percula/pep/Amphiprion_percula.Nemo_v1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
64144,atestudineus_gene_ensembl,Anabas testudineus,org.Atestudineus.eg.db,Climbing_perch,,64144,Anabas testudineus,anabas_testudineus,EnsemblMain,116,fAnaTes1.3,https://ftp.ensembl.org/pub/release-116/fasta/anabas_testudineus/dna/Anabas_testudineus.fAnaTes1.3.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/anabas_testudineus/Anabas_testudineus.fAnaTes1.3.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/anabas_testudineus/pep/Anabas_testudineus.fAnaTes1.3.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
8839,aplatyrhynchos_gene_ensembl,Anas platyrhynchos,org.Aplatyrhynchos.eg.db,Mallard,apla,8839,Anas platyrhynchos,anas_platyrhynchos,EnsemblMain,116,ASM874695v1,https://ftp.ensembl.org/pub/release-116/fasta/anas_platyrhynchos/dna/Anas_platyrhynchos.ASM874695v1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/anas_platyrhynchos/Anas_platyrhynchos.ASM874695v1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/anas_platyrhynchos/pep/Anas_platyrhynchos.ASM874695v1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
8840,applatyrhynchos_gene_ensembl,Anas platyrhynchos platyrhynchos,org.AplatyrhynchosPlatyrhynchos.eg.db,Common_mallard,,8840,Anas platyrhynchos platyrhynchos,anas_platyrhynchos_platyrhynchos,EnsemblMain,116,CAU_duck1.0,https://ftp.ensembl.org/pub/release-116/fasta/anas_platyrhynchos_platyrhynchos/dna/Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/anas_platyrhynchos_platyrhynchos/Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/anas_platyrhynchos_platyrhynchos/pep/Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
28377,acarolinensis_gene_ensembl,Anolis carolinensis,org.Acarolinensis.eg.db,Green_anole,acs,28377,Anolis carolinensis,anolis_carolinensis,EnsemblMain,116,AnoCar2.0v2,https://ftp.ensembl.org/pub/release-116/fasta/anolis_carolinensis/dna/Anolis_carolinensis.AnoCar2.0v2.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/anolis_carolinensis/pep/Anolis_carolinensis.AnoCar2.0v2.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
132585,abrachyrhynchus_gene_ensembl,Anser brachyrhynchus,org.Abrachyrhynchus.eg.db,Pink_footed_goose,abrc,132585,Anser brachyrhynchus,anser_brachyrhynchus,EnsemblMain,116,ASM259213v1,https://ftp.ensembl.org/pub/release-116/fasta/anser_brachyrhynchus/dna/Anser_brachyrhynchus.ASM259213v1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/anser_brachyrhynchus/Anser_brachyrhynchus.ASM259213v1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/anser_brachyrhynchus/pep/Anser_brachyrhynchus.ASM259213v1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
