"ensembl_id","gene_symbol"
"ENSMLUG00000000002","ADNP"
"ENSMLUG00000000003","DPM1"
"ENSMLUG00000000004","KCNG1"
"ENSMLUG00000000005","INTS1"
"ENSMLUG00000000007","FNDC3B"
"ENSMLUG00000000008","GHSR"
"ENSMLUG00000000009","EPB41L5"
"ENSMLUG00000000012",""
"ENSMLUG00000000013",""
"ENSMLUG00000000015",""
"ENSMLUG00000000016","MICU1"
"ENSMLUG00000000017",""
"ENSMLUG00000000018","LRRC57"
"ENSMLUG00000000021","NUDT6"
"ENSMLUG00000000023","SPRY1"
"ENSMLUG00000000025","LRRC49"
"ENSMLUG00000000026","SZRD1"
"ENSMLUG00000000027",""
"ENSMLUG00000000028",""
"ENSMLUG00000000029","CROCC"
"ENSMLUG00000000031","ATP13A2"
"ENSMLUG00000000032",""
"ENSMLUG00000000033","PADI2"
"ENSMLUG00000000034","PADI1"
"ENSMLUG00000000035","PADI3"
"ENSMLUG00000000037","TTLL8"
"ENSMLUG00000000038",""
"ENSMLUG00000000039","ST6GALNAC5"
"ENSMLUG00000000040",""
"ENSMLUG00000000041","ISLR2"
"ENSMLUG00000000043","AZI2"
"ENSMLUG00000000044","CMC1"
"ENSMLUG00000000045","CFAP91"
"ENSMLUG00000000046","CEP192"
"ENSMLUG00000000048","SNX16"
"ENSMLUG00000000049",""
"ENSMLUG00000000050","ADH6"
"ENSMLUG00000000054",""
"ENSMLUG00000000058","MYO1B"
"ENSMLUG00000000059","POLR3E"
"ENSMLUG00000000060",""
"ENSMLUG00000000061","IDS"
"ENSMLUG00000000063",""
"ENSMLUG00000000064","GPR68"
"ENSMLUG00000000068",""
"ENSMLUG00000000070","CDH5"
"ENSMLUG00000000073","PLCD3"
"ENSMLUG00000000074","TMPO"
"ENSMLUG00000000076","GSN"
"ENSMLUG00000000077","STOM"
"ENSMLUG00000000079","FANCE"
"ENSMLUG00000000080","RPL10A"
"ENSMLUG00000000082","PUS10"
"ENSMLUG00000000083",""
"ENSMLUG00000000084","ADCK1"
"ENSMLUG00000000085",""
"ENSMLUG00000000086","SLC16A3"
"ENSMLUG00000000088","GNA13"
"ENSMLUG00000000089","CSNK1D"
"ENSMLUG00000000090",""
"ENSMLUG00000000091","ETV4"
"ENSMLUG00000000093","MDFI"
"ENSMLUG00000000094",""
"ENSMLUG00000000095","PAFAH1B1"
"ENSMLUG00000000097","AHR"
"ENSMLUG00000000098",""
"ENSMLUG00000000099","TPCN2"
"ENSMLUG00000000100","DCN"
"ENSMLUG00000000101","PHF2"
"ENSMLUG00000000102","UBE2H"
"ENSMLUG00000000103","PHLPP1"
"ENSMLUG00000000108","SS18"
"ENSMLUG00000000110","ABT1"
"ENSMLUG00000000111","ABCG1"
"ENSMLUG00000000112","ZNF322"
"ENSMLUG00000000113","FNBP1L"
"ENSMLUG00000000116","ST3GAL2"
"ENSMLUG00000000120","KDSR"
"ENSMLUG00000000122","TFF3"
"ENSMLUG00000000123",""
"ENSMLUG00000000124","PIK3CB"
"ENSMLUG00000000127","MAEA"
"ENSMLUG00000000128","VPS36"
"ENSMLUG00000000130","UBASH3A"
