"Name","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW","baseMean.Liver_vs_Telencephalon","log2FoldChange.Liver_vs_Telencephalon","lfcSE.Liver_vs_Telencephalon","stat.Liver_vs_Telencephalon","pvalue.Liver_vs_Telencephalon","padj.Liver_vs_Telencephalon","MOR01_LIVER_RAW.norm","MOR02_LIVER_RAW.norm","MOR03_LIVER_RAW.norm","MOR04_LIVER_RAW.norm","MOR13_LIVER_RAW.norm","MOR14_LIVER_RAW.norm","MOR01_TEL_RAW.norm","MOR02_TEL_RAW.norm","MOR03_TEL_RAW.norm","MOR04_TEL_RAW.norm","MOR13_TEL_RAW.norm","MOR14_TEL_RAW.norm","MOR01_LIVER_RAW.normtrans","MOR02_LIVER_RAW.normtrans","MOR03_LIVER_RAW.normtrans","MOR04_LIVER_RAW.normtrans","MOR13_LIVER_RAW.normtrans","MOR14_LIVER_RAW.normtrans","MOR01_TEL_RAW.normtrans","MOR02_TEL_RAW.normtrans","MOR03_TEL_RAW.normtrans","MOR04_TEL_RAW.normtrans","MOR13_TEL_RAW.normtrans","MOR14_TEL_RAW.normtrans"
"Achromobacter aegrifaciens",0,0,323,0,0,0,0,0,0,0,0,0,32.4558232775162,27.6994051098665,3.07022377246479,9.02194991723004,1.84770693583446e-19,2.29643576310855e-18,0,0,389.469879330195,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,8.60564350863979,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Achromobacter anxifer",0,0,124,0,0,0,0,0,0,0,0,0,12.459820700966,25.6747994399409,3.07226828502176,8.35695227695879,6.43593205429533e-17,3.73284059149129e-16,0,0,149.517848411592,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,7.22489153011312,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Achromobacter deleyi",0,0,394,0,0,0,0,0,0,0,0,0,39.5900754530694,28.1395411011041,3.06991002042591,9.16624295626753,4.89792216088853e-20,7.10198713328837e-19,0,0,475.080905436832,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,8.89225532232869,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Akanthomyces muscarius",0,0,24684,0,0,0,0,557,0,0,0,0,2493.11385046507,14.0719787766212,2.98655790691351,4.71177161643052,2.45572505315355e-06,9.71127634656175e-06,0,0,29763.6981467075,0,0,0,0,153.66805887332,0,0,0,0,-4.74853319525648,-4.74853319525648,14.8612697786746,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,7.26437176260856,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Aspergillus chevalieri",0,0,1165,0,0,0,0,6322,0,0,0,0,262.407547006776,8.92785869603531,2.97423916575698,3.001728576109,0.00268451415447331,0.00805354246341993,0,0,1404.74430160891,0,0,0,0,1744.1462624724,0,0,0,0,-4.74853319525648,-4.74853319525648,10.4561682406798,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,10.7683668528088,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Aspergillus fumigatus",0,0,249,0,0,0,0,0,0,0,0,0,25.0201238269398,27.1457879658876,3.07068538247786,8.8403025984976,9.5459707138429e-19,9.22777169004814e-18,0,0,300.241485923277,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,8.23033696438524,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Aspergillus luchuensis",74,139,0,0,0,38,274,366,61,0,0,51,140.474439092087,-2.12319010032427,2.59583017521795,-0.817923345137938,0.413400959130225,0.521244687598979,339.929760109877,116.274124401617,0,0,0,22.1901773068125,740.882796327339,100.973984825197,352.266979202668,0,0,13.1754469315375,8.40940857548173,6.86230896909402,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.47667435783805,9.53324639140339,6.65890227086065,8.46083009382908,-4.74853319525648,-4.74853319525648,3.72789252986524
"Aspergillus puulaauensis",0,0,64,0,0,30,0,43,0,0,0,0,8.87934393571795,4.4290781207285,2.96759315499775,1.49248157998661,0.135572942591899,0.218423074175837,0,0,77.1705024059829,0,0,17.518561031694,0,11.8630637909385,0,0,0,0,-4.74853319525648,-4.74853319525648,6.27136750882771,-4.74853319525648,-4.74853319525648,4.13692005048478,-4.74853319525648,3.57741056845668,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Bordetella genomosp. 13",0,0,436,0,0,0,0,0,0,0,0,0,43.8103373033965,28.3589094350241,3.06976135728873,9.23814789957198,2.50800674429081e-20,4.36393173506601e-19,0,0,525.724047640758,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,9.03836606800754,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Bordetella pertussis",0,0,3156,0,0,0,0,0,0,0,0,0,317.122533324586,30,3.06794850792185,9.77852135475417,1.39229663102743e-22,6.18874742932505e-21,0,0,3805.47039989503,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,11.8938872889388,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
