"","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW"
"Staphylococcus aureus",1616.96318322536,1616.96318322536,1616.96318322536,1616.96318322536,1616.96318322536,1616.96318322536,1616.96318322536,1616.96318322536,1616.96318322536,1616.96318322536,1616.96318322536,1616.96318322536
"Streptomyces huangiella",169.964880054938,118.783637877911,107.31522990832,206.141953351501,0,43.7964025792351,0,0,0,127.288614669647,0,0
"Aspergillus luchuensis",339.929760109877,116.274124401617,0,0,0,22.1901773068125,740.882796327339,100.973984825197,352.266979202668,0,0,13.1754469315375
"Pichia kudriavzevii",137.809362206707,26.7681437471348,0,57.1954552651564,0,77.6656205738436,94.6383133994776,0,0,377.888074800515,0,0
"Borreliella burgdorferi",0,0,0,0,0,0,292.026795632674,0,0,662.298573203008,0,0
"Vanrija pseudolonga",0,63.5743413994451,53.0547204041132,0,329.009144959749,329.932899430238,189.276626798955,41.3827806660645,0,0,227.066949505995,69.2356819147463
"Marasmius oreades",0,0,21.7042038016827,178.735797703614,15.6671021409404,27.4457456163207,89.2304097766503,8.82832654209376,0,0,15.169399549461,6.97523661081399
"Toxoplasma gondii",0,18.4030988261552,0,0,108.191686482721,100.439749915046,75.7106507195821,35.5891913728155,80.848159161268,546.94326615864,85.3278724657182,51.6684193393629
"Mycolicibacterium smegmatis",0,15.8935853498613,0,0,0,0,0,0,0,0,0,0
"Micromonospora sp. CA-111912",0,28.4411527313307,0,0,0,0,0,0,0,0,0,0
"Tigrvirus phiE094",0,30.9506662076246,0,0,0,0,0,25.3814388085196,0,0,0,0
"Aspergillus chevalieri",0,0,1404.74430160891,0,0,0,0,1744.1462624724,0,0,0,0
"Aspergillus puulaauensis",0,0,77.1705024059829,0,0,17.518561031694,0,11.8630637909385,0,0,0,0
"Penicillium oxalicum",0,0,0,0,0,0,0,427.897952087107,0,0,0,0
"Penicillium psychrofluorescens",0,0,0,0,0,0,0,60.6947449768946,0,0,0,0
"Talaromyces marneffei",0,0,0,0,0,0,0,9.93186735985548,0,0,0,0
"Coccidioides posadasii",0,0,0,0,13.3022565347607,0,0,65.6606786568224,0,0,0,7.75026290090443
"Cercospora beticola",0,0,56.6720877043937,0,0,0,0,855.520018969774,0,0,0,0
"Zymoseptoria tritici",0,0,192.926256014957,0,0,0,0,233.674768161044,0,0,0,0
