"","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW"
"Staphylococcus aureus",10.6591374951891,10.6591374951891,10.6591374951891,10.6591374951891,10.6591374951891,10.6591374951891,10.6591374951891,10.6591374951891,10.6591374951891,10.6591374951891,10.6591374951891,10.6591374951891
"Streptomyces huangiella",7.40972418537978,6.8930955312866,6.74671071680971,7.68801489589673,-4.74853319525648,5.4551881915806,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.99280246844008,-4.74853319525648,-4.74853319525648
"Aspergillus luchuensis",8.40940857548173,6.86230896909402,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.47667435783805,9.53324639140339,6.65890227086065,8.46083009382908,-4.74853319525648,-4.74853319525648,3.72789252986524
"Pichia kudriavzevii",7.107308664548,4.74644677615652,-4.74853319525648,5.83970347005673,-4.74853319525648,6.28058527351379,6.56548598167942,-4.74853319525648,-4.74853319525648,8.56209918646053,-4.74853319525648,-4.74853319525648
"Borreliella burgdorferi",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,8.19032443500304,-4.74853319525648,-4.74853319525648,9.37149999528114,-4.74853319525648,-4.74853319525648
"Vanrija pseudolonga",-4.74853319525648,5.99205961219899,5.73143024412731,-4.74853319525648,8.36231006567537,8.36635411182552,7.56491938668007,5.37354897777613,-4.74853319525648,-4.74853319525648,7.8274465203215,6.11499292466195
"Marasmius oreades",-4.74853319525648,-4.74853319525648,4.44483542283543,7.48228515284891,3.97649335131415,4.78241361754106,6.48066573960404,3.15422222210631,-4.74853319525648,-4.74853319525648,3.93014214486755,2.81750893239592
"Toxoplasma gondii",-4.74853319525648,4.20769181128513,-4.74853319525648,-4.74853319525648,6.75843743405311,6.65125461884688,6.24384105920283,5.15637855932357,6.33846975432214,9.09544361206848,6.41620229787101,5.69328604354679
"Mycolicibacterium smegmatis",-4.74853319525648,3.99710266171795,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Micromonospora sp. CA-111912",-4.74853319525648,4.83367469017551,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Tigrvirus phiE094",-4.74853319525648,4.95536035863199,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.6699216787553,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Aspergillus chevalieri",-4.74853319525648,-4.74853319525648,10.4561682406798,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,10.7683668528088,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Aspergillus puulaauensis",-4.74853319525648,-4.74853319525648,6.27136750882771,-4.74853319525648,-4.74853319525648,4.13692005048478,-4.74853319525648,3.57741056845668,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Penicillium oxalicum",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,8.74137378092291,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Penicillium psychrofluorescens",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,5.92526657246964,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Talaromyces marneffei",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.32281221148085,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Coccidioides posadasii",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.74163461295534,-4.74853319525648,-4.74853319525648,6.03859110710554,-4.74853319525648,-4.74853319525648,-4.74853319525648,2.96799618308089
"Cercospora beticola",-4.74853319525648,-4.74853319525648,5.82645860186956,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,9.74078326067342,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Zymoseptoria tritici",-4.74853319525648,-4.74853319525648,7.5924618952946,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,7.86881739063556,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
