Taxon_ID,MartDatasets,Scientific_name,OrgDb,Common_name,kegg
80966,apolyacanthus_gene_ensembl,Acanthochromis polyacanthus,,Spiny_chromis,
9646,amelanoleuca_gene_ensembl,Ailuropoda melanoleuca,,Giant_panda,aml
61819,acitrinellus_gene_ensembl,Amphilophus citrinellus,,Midas_cichlid,
80972,aocellaris_gene_ensembl,Amphiprion ocellaris,,Clown_anemonefish,aoce
161767,apercula_gene_ensembl,Amphiprion percula,,Orange_clownfish,
64144,atestudineus_gene_ensembl,Anabas testudineus,,Climbing_perch,
8839,aplatyrhynchos_gene_ensembl,Anas platyrhynchos,org.Aplatyrhynchos.eg.db,Mallard,apla
8840,applatyrhynchos_gene_ensembl,Anas platyrhynchos platyrhynchos,,Common_mallard,
28377,acarolinensis_gene_ensembl,Anolis carolinensis,,Green_anole,acs
132585,abrachyrhynchus_gene_ensembl,Anser brachyrhynchus,,Pink_footed_goose,abrc
37293,anancymaae_gene_ensembl,Aotus nancymaae,,Ma_s_night_monkey,anan
223781,acchrysaetos_gene_ensembl,Aquila chrysaetos chrysaetos,,Golden_eagle,achc
8154,acalliptera_gene_ensembl,Astatotilapia calliptera,,Eastern_happy,
7994,amexicanus_gene_ensembl,Astyanax mexicanus,,Mexican_tetra,amex
9771,bmusculus_gene_ensembl,Balaenoptera musculus,,Blue_whale,bmus
158456,bsplendens_gene_ensembl,Betta splendens,,Siamese_fighting_fish,bspl
43346,bbbison_gene_ensembl,Bison bison bison,,American_bison,bbis
6526,bggca947242115v1rs_eg_gene,Biomphalaria glabrata,org.Bglabrata.eg.db,Bloodfluke_planorb,bgt
30521,bgrunniens_gene_ensembl,Bos grunniens,,Domestic_yak,
30522,bihybrid_gene_ensembl,Bos indicus x Bos taurus,,Hybrid_cattle,
72004,bmutus_gene_ensembl,Bos mutus,,Wild_yak,bom
9913,btaurus_gene_ensembl,Bos taurus,org.Bt.eg.db,Cattle,bta
6239,celegans_gene_ensembl,Caenorhabditis elegans,org.Ce.eg.db,Nematode,cel
198806,cpugnax_gene_ensembl,Calidris pugnax,org.Cpugnax.eg.db,Ruff,narq
9483,cjacchus_gene_ensembl,Callithrix jacchus,,White_tufted_ear_marmoset,cjc
7868,cmilii_gene_ensembl,Callorhinchus milii,,Elephant_shark,cmk
9838,cdromedarius_gene_ensembl,Camelus dromedarius,,Arabian_camel,cdk
286419,cldingo_gene_ensembl,Canis lupus dingo,,Dingo,clud
9615,clfamiliaris_gene_ensembl,Canis lupus familiaris,org.Cf.eg.db,Dog,cfa
9925,chircus_gene_ensembl,Capra hircus,,Goat,chx
