Taxon_ID	Scientific_name	Reference_Taxon_ID	Reference_Scientific_name	download_status	override_used	Ensembl_division	Ensembl_release	Assembly	MartDatasets_old	MartDatasets_verified	MartDatasets_final	MartDatasets_status	Genome_URL	GTF_URL	Pep_URL	row_status	notes
80966	Acanthochromis polyacanthus	80966	Acanthochromis polyacanthus	COMPLETE	NO	EnsemblMain	116	ASM210954v1	apolyacanthus_gene_ensembl	apolyacanthus_gene_ensembl	apolyacanthus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/acanthochromis_polyacanthus/dna/Acanthochromis_polyacanthus.ASM210954v1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/acanthochromis_polyacanthus/Acanthochromis_polyacanthus.ASM210954v1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/acanthochromis_polyacanthus/pep/Acanthochromis_polyacanthus.ASM210954v1.pep.all.fa.gz	COMPLETE	
9646	Ailuropoda melanoleuca	9646	Ailuropoda melanoleuca	COMPLETE	NO	EnsemblMain	116	ASM200744v2	amelanoleuca_gene_ensembl	amelanoleuca_gene_ensembl	amelanoleuca_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/ailuropoda_melanoleuca/dna/Ailuropoda_melanoleuca.ASM200744v2.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/ailuropoda_melanoleuca/Ailuropoda_melanoleuca.ASM200744v2.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/ailuropoda_melanoleuca/pep/Ailuropoda_melanoleuca.ASM200744v2.pep.all.fa.gz	COMPLETE	
61819	Amphilophus citrinellus	61819	Amphilophus citrinellus	COMPLETE	NO	EnsemblMain	116	Midas_v5	acitrinellus_gene_ensembl	acitrinellus_gene_ensembl	acitrinellus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/amphilophus_citrinellus/dna/Amphilophus_citrinellus.Midas_v5.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/amphilophus_citrinellus/Amphilophus_citrinellus.Midas_v5.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/amphilophus_citrinellus/pep/Amphilophus_citrinellus.Midas_v5.pep.all.fa.gz	COMPLETE	
80972	Amphiprion ocellaris	80972	Amphiprion ocellaris	COMPLETE	NO	EnsemblMain	116	ASM2253959v1	aocellaris_gene_ensembl	aocellaris_gene_ensembl	aocellaris_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/amphiprion_ocellaris/dna/Amphiprion_ocellaris.ASM2253959v1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/amphiprion_ocellaris/Amphiprion_ocellaris.ASM2253959v1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/amphiprion_ocellaris/pep/Amphiprion_ocellaris.ASM2253959v1.pep.all.fa.gz	COMPLETE	
161767	Amphiprion percula	161767	Amphiprion percula	COMPLETE	NO	EnsemblMain	116	Nemo_v1	apercula_gene_ensembl	apercula_gene_ensembl	apercula_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/amphiprion_percula/dna/Amphiprion_percula.Nemo_v1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/amphiprion_percula/Amphiprion_percula.Nemo_v1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/amphiprion_percula/pep/Amphiprion_percula.Nemo_v1.pep.all.fa.gz	COMPLETE	
64144	Anabas testudineus	64144	Anabas testudineus	COMPLETE	NO	EnsemblMain	116	fAnaTes1.3	atestudineus_gene_ensembl	atestudineus_gene_ensembl	atestudineus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/anabas_testudineus/dna/Anabas_testudineus.fAnaTes1.3.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/anabas_testudineus/Anabas_testudineus.fAnaTes1.3.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/anabas_testudineus/pep/Anabas_testudineus.fAnaTes1.3.pep.all.fa.gz	COMPLETE	
8839	Anas platyrhynchos	8839	Anas platyrhynchos	COMPLETE	NO	EnsemblMain	116	ASM874695v1	aplatyrhynchos_gene_ensembl	aplatyrhynchos_gene_ensembl	aplatyrhynchos_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/anas_platyrhynchos/dna/Anas_platyrhynchos.ASM874695v1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/anas_platyrhynchos/Anas_platyrhynchos.ASM874695v1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/anas_platyrhynchos/pep/Anas_platyrhynchos.ASM874695v1.pep.all.fa.gz	COMPLETE	
8840	Anas platyrhynchos platyrhynchos	8840	Anas platyrhynchos platyrhynchos	COMPLETE	NO	EnsemblMain	116	CAU_duck1.0	applatyrhynchos_gene_ensembl	applatyrhynchos_gene_ensembl	applatyrhynchos_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/anas_platyrhynchos_platyrhynchos/dna/Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/anas_platyrhynchos_platyrhynchos/Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/anas_platyrhynchos_platyrhynchos/pep/Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.pep.all.fa.gz	COMPLETE	
28377	Anolis carolinensis	28377	Anolis carolinensis	COMPLETE	NO	EnsemblMain	116	AnoCar2.0v2	acarolinensis_gene_ensembl	acarolinensis_gene_ensembl	acarolinensis_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/anolis_carolinensis/dna/Anolis_carolinensis.AnoCar2.0v2.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/anolis_carolinensis/pep/Anolis_carolinensis.AnoCar2.0v2.pep.all.fa.gz	COMPLETE	
132585	Anser brachyrhynchus	132585	Anser brachyrhynchus	COMPLETE	NO	EnsemblMain	116	ASM259213v1	abrachyrhynchus_gene_ensembl	abrachyrhynchus_gene_ensembl	abrachyrhynchus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/anser_brachyrhynchus/dna/Anser_brachyrhynchus.ASM259213v1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/anser_brachyrhynchus/Anser_brachyrhynchus.ASM259213v1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/anser_brachyrhynchus/pep/Anser_brachyrhynchus.ASM259213v1.pep.all.fa.gz	COMPLETE	
37293	Aotus nancymaae	37293	Aotus nancymaae	COMPLETE	NO	EnsemblMain	116	Anan_2.0	anancymaae_gene_ensembl	anancymaae_gene_ensembl	anancymaae_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/aotus_nancymaae/dna/Aotus_nancymaae.Anan_2.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/aotus_nancymaae/Aotus_nancymaae.Anan_2.0.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/aotus_nancymaae/pep/Aotus_nancymaae.Anan_2.0.pep.all.fa.gz	COMPLETE	
223781	Aquila chrysaetos chrysaetos	223781	Aquila chrysaetos chrysaetos	COMPLETE	NO	EnsemblMain	116	bAquChr1.2	acchrysaetos_gene_ensembl	acchrysaetos_gene_ensembl	acchrysaetos_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/aquila_chrysaetos_chrysaetos/dna/Aquila_chrysaetos_chrysaetos.bAquChr1.2.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/aquila_chrysaetos_chrysaetos/Aquila_chrysaetos_chrysaetos.bAquChr1.2.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/aquila_chrysaetos_chrysaetos/pep/Aquila_chrysaetos_chrysaetos.bAquChr1.2.pep.all.fa.gz	COMPLETE	
8154	Astatotilapia calliptera	8154	Astatotilapia calliptera	COMPLETE	NO	EnsemblMain	116	fAstCal1.3	acalliptera_gene_ensembl	acalliptera_gene_ensembl	acalliptera_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/astatotilapia_calliptera/dna/Astatotilapia_calliptera.fAstCal1.3.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/astatotilapia_calliptera/Astatotilapia_calliptera.fAstCal1.3.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/astatotilapia_calliptera/pep/Astatotilapia_calliptera.fAstCal1.3.pep.all.fa.gz	COMPLETE	
